page,lang,kind,title,h1,internal_links,missing_targets
404.html,en,clinic,Page Not Found | Canby Clinic,Page Not Found,63,
about.html,en,clinic,About Canby Clinic | Canby Clinic,About Canby Clinic,63,
accessibility.html,en,policy,Accessibility | Canby Clinic,Accessibility,63,
appointments.html,en,patient,Appointments & Visit Requests | Canby Clinic,Appointments & Visit Requests,63,
blood-pressure-explainer.html,en,clinical-resource,Blood Pressure Explainer | Canby Clinic,Blood Pressure Explainer,56,
blood-pressure-number-and-story.html,en,clinical-resource,Blood Pressure: The Number and the Story | Canby Clinic,Blood Pressure: The Number and the Story,58,
community-health-research-reseda-2025.html,en,clinical-resource,Community Health in Reseda | Canby Clinic,Community Health in Reseda,58,
community-resources-directory.html,en,clinic,Community Resource Directory | Canby Clinic,Community Resource Directory,56,
contact.html,en,clinic,Contact Canby Clinic | Canby Clinic,Contact Canby Clinic,56,
create-account.html,en,portal,Create Patient Account | Canby Community Clinic,Create your account and patient profile.,55,
diabetes-learning-center.html,en,clinical-resource,Diabetes Learning Center | Canby Clinic,Diabetes Learning Center,58,
donate.html,en,clinic,Donate | Canby Clinic,Donate,58,
donation-options.html,en,clinic,Donation Options | Canby Clinic,Donation Options,58,
editorial-policy.html,en,policy,Editorial Policy | Canby Clinic,Editorial Policy,63,
es-acerca.html,es,localized,Acerca de Canby Clinic | Canby Clinic,Acerca de Canby Clinic,66,
es-articulos.html,es,localized,Artículos de Salud | Canby Clinic,Artículos de Salud,66,
es-citas.html,es,localized,Citas y visitas | Canby Clinic,Citas y visitas,66,
es-contacto.html,es,localized,Contacto | Canby Clinic,Contacto,66,
es-donar.html,es,localized,Donar | Canby Clinic,Donar,66,
es-nuevo-paciente.html,es,localized,Nuevos pacientes | Canby Clinic,Nuevos pacientes,66,
es-panel-paciente.html,es,localized,Panel del paciente | Canby Clinic,Panel del paciente,66,
es-portal-paciente.html,es,localized,Portal del paciente | Canby Clinic,Portal del paciente,66,
es-recursos.html,es,localized,Recursos | Canby Clinic,Recursos,66,
es-servicios.html,es,localized,Servicios | Canby Clinic,Servicios,66,
es-voluntariado.html,es,localized,Voluntariado | Canby Clinic,Voluntariado,66,
es.html,es,clinic,Canby Clinic | Canby Clinic,Canby Clinic,66,
faq.html,en,patient,Frequently Asked Questions | Canby Clinic,Frequently Asked Questions,58,
health-articles.html,en,clinical-resource,Health Articles | Canby Clinic,Health Articles,75,
health-education.html,en,clinical-resource,Health Education | Canby Clinic,Health Education,75,
health-library.html,en,clinical-resource,Health Library | Canby Clinic,Health Library,75,
hy-about.html,hy,localized,Մեր մասին | Canby Clinic,Մեր մասին,66,
hy-appointments.html,hy,localized,Այցեր | Canby Clinic,Այցեր,66,
hy-contact.html,hy,localized,Կապ | Canby Clinic,Կապ,66,
hy-donate.html,hy,localized,Նվիրատվություն | Canby Clinic,Նվիրատվություն,66,
hy-journal.html,hy,localized,Առողջապահական նյութեր | Canby Clinic,Առողջապահական նյութեր,66,
hy-new-patient.html,hy,localized,Նոր հիվանդներ | Canby Clinic,Նոր հիվանդներ,66,
hy-patient-dashboard.html,hy,localized,Հիվանդի վահանակ | Canby Clinic,Հիվանդի վահանակ,66,
hy-patient-portal.html,hy,localized,Հիվանդի պորտալ | Canby Clinic,Հիվանդի պորտալ,66,
hy-resources.html,hy,localized,Ռեսուրսներ | Canby Clinic,Ռեսուրսներ,66,
hy-services.html,hy,localized,Ծառայություններ | Canby Clinic,Ծառայություններ,66,
hy-volunteer.html,hy,localized,Կամավորություն | Canby Clinic,Կամավորություն,66,
hy.html,hy,clinic,Canby Clinic | Canby Clinic,Canby Clinic,66,
index.html,en,clinic,Canby Community Clinic | Care That Moves With Our Community,,69,
insurance-costs.html,en,clinic,Insurance & Costs | Canby Community Clinic,Insurance & costs,40,
language-access-clinical-safety.html,en,clinic,Language Access & Patient Safety | Canby Clinic,Language Access & Patient Safety,58,
location.html,en,patient,Location | Canby Clinic,Location,56,
medical-disclaimer.html,en,policy,Medical Disclaimer | Canby Clinic,Medical Disclaimer,63,
medication-list-builder.html,en,clinical-resource,Medication List Builder | Canby Clinic,Medication List Builder,56,
medication-list-patient-safety.html,en,clinical-resource,Medication Lists and Patient Safety | Canby Clinic,Medication Lists and Patient Safety,58,
medication-support.html,en,clinical-resource,Medication Support | Canby Clinic,Medication Support,63,
new-patient.html,en,patient,New Patients | Canby Clinic,New Patients,63,
nondiscrimination.html,en,policy,Nondiscrimination | Canby Clinic,Nondiscrimination,63,
notice-of-privacy-practices.html,en,policy,Notice of Privacy Practices | Canby Clinic,Notice of Privacy Practices,63,
password-reset.html,en,portal,Reset Patient Portal Password | Canby Community Clinic,Reset your password.,56,
patient-dashboard.html,en,portal,Patient Dashboard | Canby Clinic,Patient Dashboard,64,
patient-forms.html,en,patient,Patient Forms | Canby Community Clinic,,54,
